Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
Production of Voter Register,LAGOS STATE INDEPENDENT ELECTORAL COMMISSION,ocds-5q8fsw-6202287254286,"₦61,963,752.50",XHS NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, June 4, 2021",2022-06-14,"YABA, LAGOS"
Repair of Ballot Boxes,LAGOS STATE INDEPENDENT ELECTORAL COMMISSION,ocds-5q8fsw-6202237060583,"₦45,430,000.00",SALAYOK INTEGRATED CONCEPT LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, May 27, 2021",2022-06-14,"YABA, LAGOS"
Repair of Voting Cubicles,LAGOS STATE INDEPENDENT ELECTORAL COMMISSION,ocds-5q8fsw-6202283431568,"₦64,570,000.00",AIONA NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, May 27, 2021",2022-06-14,"YABA, LAGOS"
Renovation of Office complex,LAGOS STATE INDEPENDENT ELECTORAL COMMISSION,ocds-5q8fsw-6202256847354,"₦98,838,693.41",W.A. SHOBOWALE & SONS NIG LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, March 3, 2021",2022-06-14,"YABA, LAGOS"
PROCUREMENT AND INSTALLATION OF CLOSE CIRCUIT TELEVISION (CCTV) CAMERA ON IKORODU CAMPUS,LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - LASUSTECH,ocds-5q8fsw-6202211274430,"₦17,275,250.00",GREENDRIVE RESOURCES LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, December 30, 2021",2022-06-14,"IKORODU, LAGOS"
PROCUREMENT OF EQUIPMENT TO SECURE FULL ACCREDITATION OF NATIONAL BOARD FOR TECHNICAL EDUCATION (NBTE) FOR MECHANICAL ENGINEERING DEPARTMENT,LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - LASUSTECH,ocds-5q8fsw-6202252058675,"₦41,436,000.00",ECO SCIENCE NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",23,2021,COMPLETED,,"Thursday, November 4, 2021",2022-06-14,LAGOS
PROCUREMENT OF EQUIPMENT TO SECURE FULL ACCREDITATION OF NATIONAL BOARD FOR TECHNICAL EDUCATION (NBTE) FOR CIVIL ENGINEERING DEPARTMENT,LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - LASUSTECH,ocds-5q8fsw-6202222325355,"₦34,350,000.00",ZION GRACE LOGISTICS LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",30,2021,COMPLETED,,"Thursday, November 4, 2021",2022-06-14,LAGOS
CONSTRUCTION OF LECTURE HALL FOR SCHOOL OF PART-TIME STUDIES IKORODU CAMPUS - BLOCK C,LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - LASUSTECH,ocds-5q8fsw-6202206515561,"₦30,051,047.61",BAVURASHIELD NIG LTD,Private Organization,"₦200,000,001 to ₦250,000,000",47,2021,ON-GOING,,"Thursday, November 4, 2021",2022-06-14,"IKORODU, LAGOS"
CONSTRUCTION OF LECTURE HALL FOR SCHOOL OF PART-TIME STUDIES IKORODU CAMPUS - BLOCK C,LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - LASUSTECH,ocds-5q8fsw-6202228465472,"₦30,051,047.61",BAVURASHIELD NIG LTD,Private Organization,"₦200,000,001 to ₦250,000,000",47,2021,ONGOING,,"Thursday, November 4, 2021",2022-06-14,"IKORODU, LAGOS"
CONSTRUCTION OF LECTURE HALL FOR SCHOOL OF PART-TIME STUDIES IKORODU CAMPUS - BLOCK B,LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - LASUSTECH,ocds-5q8fsw-6202228344133,"₦30,051,047.61",GEOPLOT RESOURCES LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",30,2021,ON-GOING,,"Thursday, November 4, 2021",2022-06-14,"IKORODU, LAGOS"
Preparation of Development Guide Plan for Excised Village  (Sangotedo),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202245010720,"₦24,880,850.00",MOA PLANNERS LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Monday, April 12, 2021",2022-06-14,SANGOTEDO
Preparation of Development Guide Plan for Excised Village  (Ketu –Ijanikin-Ojo),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202226684134,"₦20,892,600.00",URBAN PLANNING SMART SOLUTIONS LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Monday, April 12, 2021",2022-06-14,Ketu –Ijanikin-Ojo
PROCUREMENT OF BI-DIRECTIONAL API INTEGRATION FOR LASHMA,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202270614130,"₦3,000,000.00",PROGNOSIS TECHNOLOGIES LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, December 20, 2021",2022-06-14,"IKEJA, LAGOS"
PROCUREMENT & DEPLOYMENT OF ENROLLEE MEMBER APP FOR LASHMA,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202218736142,"₦8,000,000.00",PROGNOSIS TECHNOLOGIES LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, December 20, 2021",2022-06-13,"IKEJA, LAGOS"
PROCUREMENT OF CUSTOMER RELATIONSHIP MANAGEMENT SOLUTION FOR LSHS,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202256725411,"₦12,887,325.00",ADT SYSTEMS TECH LTD,Private Organization,,0,2021,COMPLETED,,"Friday, December 10, 2021",2022-06-13,"IKEJA, LAGOS"
PROCUREMENT OF CUSTOMER RELATIONSHIP MANAGEMENT SOLUTION FOR LSHS,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202257523176,"₦6,000,000.00",BELL TECHNOLOGY,Private Organization,,0,2021,COMPLETED,,"Tuesday, November 23, 2021",2022-06-13,"IKEJA, LAGOS"
BASIC LIFE SUPPORT TRAINNING FOR LASHMA PROVIDERS,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202233262142,"₦27,950,000.00",MAGNA CARTA HEALTH LTD,Private Organization,,0,2021,COMPLETED,,"Thursday, November 4, 2021",2022-06-13,"IKEJA, LAGOS"
PROCUREMENT OF ADDITIONAL 5 BRANDED FABRICATED KIOSK,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202220575226,"₦8,219,520.00",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2021,COMPLETED,,"Tuesday, November 30, 2021",2022-06-13,"IKEJA, LAGOS"
PROCUREMENT OF ILERA EKO DEMAND GENERATION THROUGH  COMMUNITY PENETRATION,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202270070107,"₦55,000,000.00",MINT MEDIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, December 16, 2021",2022-06-13,"IKEJA, LAGOS"
COVID-19 HOMEBASED CARE UNDER THE EKOTELEMED PLATFORM,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202238551501,"₦45,000,000.00",EMIRATES NIGERIA HEALTH CONNECT 247 LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, December 9, 2021",2022-06-13,"IKEJA, LAGOS"
HOMEBASED CARE AND MONITORING SERVICE PHASE III UNDER EKETELEMED,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202241280150,"₦60,000,000.00",EMIRATES NIGERIA HEALTH CONNECT 247 LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, July 29, 2021",2022-06-13,"IKEJA, LAGOS"
EKOTELEMED COONCEIRGE LSHS Phase ll for enrollees,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202245852210,"₦73,200,000.00",EMIRATES NIGERIA HEALTH CONNECT 247 LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, April 22, 2021",2022-06-13,"IKEJA, LAGOS"
PROCUREMENT OF ILERA EKO DEMAND GENERATION THROUGH PUBLICITY CAMPAIGN,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202250488571,"₦100,000,000.00",MINT MEDIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, December 23, 2021",2022-06-13,"IKEJA, LAGOS"
ENGAGEMENT AS LASHMA EXTERNAL AUDITOR (LASHEF&ADMIN ACCT),LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202212571154,"₦3,862,500.00",KPMG PROFESSIONAL SERVICES,Private Organization,,0,2021,COMPLETED,,"Friday, June 25, 2021",2022-06-13,"IKEJA, LAGOS"
"SERVICE PROVIDER FOR COVID-19 POST TRAVEL ISOLATION,TESTING,MONITORING AND ENFORCEMENT FOR LASHMA",LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202207478518,"₦50,000,000.00",EMIRATES NIGERIA HEALTH CONNECT 247 LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, June 2, 2021",2022-06-13,"IKEJA, LAGOS"
STATE-WIDE SENSITIZATION ON ILERA-EKO,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202252511557,"₦77,650,000.00",THE BLOOM SHOPFAIRY,Private Organization,"₦5,000,001 to ₦10,000,000",15,2021,COMPLETED,,"Thursday, November 4, 2021",2022-06-13,LAGOS
PROCUREMENT AND INSTALLATION OF AUTOMATED ACCOUNT RECONCILIATION SOFTWARE SOLUTION,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202203830703,"₦8,750,000.00",PRECISE FINANCIAL SYSTEMS,Private Organization,,0,2021,COMPLETED,,"Friday, July 30, 2021",2022-06-13,"IKEJA, LAGOS"
PROCUREMENT OF 11 UNITS OF LAPTOPS AND MOBILE WIRELESS (MI-FI) FOR LASHMA 5-IBILE OFFICE,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202208567672,"₦5,749,992.00",BELL TECHNOLOGY,Private Organization,,0,2021,COMPLETED,,"Wednesday, July 28, 2021",2022-06-13,"IKEJA, LAGOS"
CONSTRUCTION OF LECTURE HALL FOR SCHOOL OF PART-TIME STUDIES IKORODU CAMPUS - BLOCK A,LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - LASUSTECH,ocds-5q8fsw-6202228765224,"₦29,980,000.00",TAKULLAH MANDATE VENTURES LTD,Private Organization,,0,2021,ONGOING,,"Thursday, November 4, 2021",2022-06-13,"IKORODU, LAGOS"
CONSTRUCTION OF SCHOOL OF TECHNOLOGY COMPLEX (BLOCK D) FOR LAGOS STATE POLYTECHNIC,LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - LASUSTECH,ocds-5q8fsw-6202237480514,"₦401,919,328.58",PHAZAM INTERNATIONAL VENTURES LIMITED,Private Organization,,0,2021,ONGOING,,"Tuesday, August 17, 2021",2022-06-13,"IKORODU, LAGOS"
PROCUREMENT OF ITEMS AND EQUIPMENT FOR GRASSROOT. (25 UNITS OF 1.8KVA GEN & 16 INCHES WALL FAN),LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202217478066,"₦2,375,000.00",AMUSCO NIGERIA COMPANY,Private Organization,,0,2021,COMPLETED,,"Monday, June 28, 2021",2022-06-13,Unspecified
PROCUREMENT OF ITEMS AND EQUIPMENT FOR GRASSROOT. (25 UNITS OF BRANDED FABRICATED KIOSK),LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202271818224,"₦34,248,800.50",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2021,COMPLETED,,"Monday, June 28, 2021",2022-06-13,"IKEJA, LAGOS"
IMPLEMENTATION OF CYBER SECURITY FOR LASHMA,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202203525585,"₦8,850,000.00",ADT SYSTEMS TECH LTD,Private Organization,,0,2021,COMPLETED,,"Wednesday, September 29, 2021",2022-06-13,"IKEJA, LAGOS"
Engagement of MMI VPA Virtual Personal Assistance to LASHMA,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202274451455,"₦8,850,000.00",MIMI VIRTUAL PA,Private Organization,,0,2021,COMPLETED,,"Friday, February 12, 2021",2022-06-13,"IKEJA, LAGOS"
Engagement of Regulation Consultant for LASHMA,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202234686342,"₦10,000,000.00",TOSIN AWOSIKA & ASSOCIATES,Private Organization,,0,2021,COMPLETED,,"Friday, March 12, 2021",2022-06-13,"IKEJA, LAGOS"
Payment of LASHMA Office accommodation and service charge for year 2021.,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202203082653,"₦18,240,868.75",NIRALOF VENTURES LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, April 16, 2021",2022-06-13,"IKEJA, LAGOS"
Homebased Care for COVID-19 Positive Patients Phase II,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202258862642,"₦35,000,000.00",EMIRATES NIGERIA HEALTH CONNECT 247 LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, February 24, 2021",2022-06-13,"IKEJA, LAGOS"
EKOTELEMED Services Phase II,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202207251251,"₦30,000,000.00",EMIRATES NIGERIA HEALTH CONNECT 247 LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, February 24, 2021",2022-06-13,"IKEJA, LAGOS"
"Reconstruction of a 100m Fence (Raft Foundation) at L. A. Primary School, Muwo-Tedi, Ojo LGEA",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202215663116,"₦9,225,898.42",OKUNOLA NIGERIA ENTERPRISES LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",40,2022,ONGOING,,"Thursday, January 20, 2022",2022-06-13,"OJO, LAGOS"
"Construction of a 132m Fence (Raft Foundation) at Nathan Primary School, Surulere LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202247173441,"₦12,030,265.91",SOTREX GLOBAL INVESTMENT LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",34,2022,ONGOING,,"Thursday, January 20, 2022",2022-06-13,"SURULERE, LAGOS"
"Construction of a 120m Fence, Gate and Gate House (Raft Foundation) at A.U.D. Primary School, Imota, Ikorodu LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202201706117,"₦9,852,658.72",1ENIX TECHNOLOGIES DISTRIBUTION AND LOGISTICS LIMITED,Private Organization,"₦10,000,001 to ₦25,000,000",23,2022,ONGOING,,"Saturday, January 22, 2022",2022-06-13,"IKORODU, LAGOS"
Provision of Social Infrastructure at Ojora Community as part of the Lasocu Identified Poorest Communities in Lagos State (Lot 6),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202254556655,"₦26,979,818.84",GILLIAN CONSTRUCTION LTD,Private Organization,"₦50,000,001 to ₦100,000,000",33,2021,ONGOING,,"Tuesday, September 28, 2021",2022-06-13,LAGOS
Provision of Social Infrastructure at Gangare Community as part of the Lasocu Identified Poorest Communities in Lagos State (Lot 5),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202258171246,"₦26,983,205.09",GILLIAN CONSTRUCTION LTD,Private Organization,"₦50,000,001 to ₦100,000,000",33,2021,ONGOING,,"Tuesday, September 28, 2021",2022-06-13,LAGOS
Provision of Social Infrastructure at Isalu Community as part of the Lasocu Identified Poorest Communities in Lagos State (Lot 4),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202255571541,"₦14,993,560.48",EAGLECREST CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",56,2021,ONGOING,,"Tuesday, September 28, 2021",2022-06-13,LAGOS
Provision of Social Infrastructure at Ajido Community as part of Lasocu Identified Poorest Communities in Lagos State (Lot 3),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202228430870,"₦14,990,174.23",EAGLECREST CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",56,2021,ONGOING,,"Tuesday, September 28, 2021",2022-06-13,LAGOS
Provision of Social Infrastructure at Ikegun community as part of the Lasocu Identified Poorest Communities in Lagos State (Lot 2),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202242865238,"₦45,085,311.77",DELIVERY CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",54,2021,ONGOING,,"Tuesday, September 28, 2021",2022-06-13,LAGOS
Provision of Social Infrastructure at Taluko Community as part of the Lasocu Identified Communities in Lagos State (Lot 1),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202227656010,"₦42,582,344.82",DELIVERY CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",54,2021,ONGOING,,"Tuesday, September 28, 2021",2022-06-13,LAGOS
Provision of New Solar Powered Modified Type 'A' Water Scheme in 5 Rural Communities of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202271422343,"₦59,285,777.76",CENTREBEAM CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",66,2021,ONGOING,,"Saturday, September 25, 2021",2022-06-13,LAGOS
Lagos Corporate Social Responsibility (CSR) Forum  for Corporate Organisations and Communities across the state,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202204771520,"₦3,491,062.50",GOLDPATH NIGERIA VENTURE,Private Organization,"₦5,000,001 to ₦10,000,000",12,2021,ONGOING,,"Wednesday, October 6, 2021",2022-06-13,LAGOS
Re-Construction of Burnt Elemoro's Palace at Ibeju Lekki Local Government Area,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202237408043,"₦295,021,873.11",OTTMAN CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",65,2021,ONGOING,,"Thursday, September 23, 2021",2022-06-13,IBEJU LEKKI
Provision of Rural Electrification in Various Locations in Ikorodu Division of Lagos State (Lot 2),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202226287101,"₦207,174,947.85",MEGA ULTIMATE LIMITED.,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021",2022-06-13,"IKORODU, LAGOS"
Provision of Rural Electrification in Various Locations in Ikeja Division of Lagos State (Lot 1),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202241741235,"₦207,173,641.09",SHARP REALTORS LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021",2022-06-13,"IKEJA, LAGOS"
Provision of Social Infrastructure at Ganvie Koji Community as part of the Lasocu Identified Poorest Communities in Lagos State (Lot 7),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202206540527,"₦57,572,519.04",MEGA ULTIMATE LIMITED.,Private Organization,,0,2021,ONGOING,,"Tuesday, September 28, 2021",2022-06-13,LAGOS
Provision of Social Infrastructure at Ajido Community as part of Lasocu Identified Poorest Communities in Lagos State (Lot 3),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202257007870,"₦14,990,174.23",EAGLECREST CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",56,2021,ONGOING,,"Tuesday, September 28, 2021",2022-06-13,LAGOS
Rehabilitation of Dilapidated Solar Powered Modified Type A Water Schemes in Candos Community in Ayobo-Ipaja LCDA and Idenla Community in Ibeju-Lekki LGA,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202226536330,"₦8,954,850.00",LEGENDARY RASFA INTERNATIONAL LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-13,IBEJU LEKKI
"Rehabilitation of Dilapidated Solar Powered Modified Type A Water Schemes in Offiran in Ibeju-Lekki LGA and  Oriba Community in Epe LGA,",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202201507217,"₦8,954,850.00",LEGENDARY RASFA INTERNATIONAL LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-13,"EPE, LAGOS"
Rehabilitation of Dilapidated Igboye Micro Water Scheme in Eredo LCDA.,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202203615706,"₦9,923,203.76",LEGENDARY RASFA INTERNATIONAL LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-13,"EREDO, LAGOS"
"Rehabilitation of Dilapidated Modified Type A Water Schemes in Posukoh Community in Badagry LGA and Alatunshe Community in Ibeju-Lekki LGA, and Type A Water in Igbodu Community in Eredo LCDA.",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202267655260,"₦9,498,758.40",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-13,IBEJU LEKKI
"Rehabilitation of Dilapidated Modified Type A Water Schemes in Otunla Community in Ibeju-Lekki LGA, Boikoh Quarters in Badagry LGA and Type A Water in Oke-Balogun Community in Epe LGA",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202268645701,"₦9,498,758.40",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-13,"EPE, LAGOS"
"Construction of a 20m Fence, Gate and Gate House (Raft Foundation) at Ansarudeen Primary School, Ibowon, Epe  LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202283035761,"₦5,466,397.00",JADFEM NIGERIA LIMITED,Private Organization,,0,2022,COMPLETED,,"Thursday, January 20, 2022",2022-06-13,"EPE, LAGOS"
"Construction of a 235m Fence, Gate and Gate House (Raft Foundation) at Atara Health Centre Primary School, Aguda, Surulere  LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202245576572,"₦21,056,823.99",AVILAH CONSTRUCTION NIGERIA LIMITED,Private Organization,,0,2022,COMPLETED,,"Thursday, January 20, 2022",2022-06-13,"SURULERE, LAGOS"
"Construction of a 250m Fence, Gate and Gate House (Raft Foundation) at Ifeoluwa Primary School, Agege  LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202203624473,"₦24,319,673.91",LOSAGH NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",33,2022,COMPLETED,,"Thursday, January 20, 2022",2022-06-13,"AGEGE, LAGOS"
"Construction of a 65m Fence, includidng Gate (Raft Foundation) at 7th Avenue Festac Nursery and Primary School, Amuwo Odofin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202276820556,"₦6,158,621.47",BIOREM NIGERIA LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, January 20, 2022",2022-06-13,"AMUWO ODOFIN, LAGOS"
"Construction of a 148m Fence, Gate and Gate House (Raft Foundation) at Community Primary School, Ikotun, Alimosho LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202244761161,"₦15,826,121.15",QUEVEDO INTERNATIONAL LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, January 20, 2022",2022-06-13,"ALIMOSHO, LAGOS"
"Construction of a 50m Fence (Pad Foundation) at  Z. I. Primary School, Epe LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202260342273,"₦4,018,678.30",JADFEM NIGERIA LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, January 20, 2022",2022-06-13,"EPE, LAGOS"
"Construction of a 150m Fence (Pad Foundation) at Dairy Farm Primary School, Agege LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202250117202,"₦12,518,284.90",LOSAGH NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",33,2022,ONGOING,,"Thursday, January 20, 2022",2022-06-13,"AGEGE, LAGOS"
Procurement of 44 ECCDE Plastic Furniture,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202200158075,"₦5,022,144.12",RUKSAL CONCEPT,Private Organization,"₦50,000,001 to ₦100,000,000",33,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-13,LAGOS
Procurement of 526 Teachers Furniture,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202245851578,"₦42,069,480.00",GLAMOUR BASE FASHION LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",20,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-13,LAGOS
Procurement of 682 Dual Students Furniture (Iron-Wooden),STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202228030411,"₦40,909,770.00",GLAMOUR BASE FASHION LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",20,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-13,LAGOS
"Establishment of Borehole and Overhead Tank (Pad Foundation) at Central Primary School, Oshodi, Oshodi-Isolo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202250855255,"₦9,997,500.00",STEADFAST VENTURES,Private Organization,"₦10,000,001 to ₦25,000,000",14,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-13,"OSHODI, LAGOS"
"Construction of 382m Fence, Gate and Gate House (Pad Foundation) at Local Government Primary School, Isheri-Osun, Alimosho LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202216544757,"₦31,845,946.20",LOSAGH NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",33,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-13,"ALIMOSHO, LAGOS"
"Rehabilitation of Dilapidated Modified Type A Water Schemes in Poka Community in Epe LG, Gberigbe-Owa Community in Ijede LCDA and Type A Water  in Agemowo Community in Olorunda LCDA",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202244546331,"₦9,377,360.00",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"OLORUNDA, LAGOS"
"Rehabilitation of Dilapidated Modified Type A Water Schemes in Solomade Community in Ikorodu LGA, Erepete Community in Epe LGA, and Type A Water in Ajara –Vetho Community in Badagry LGA",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202267073241,"₦9,377,360.00",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"BADAGRY, LAGOS"
